tg_id;id;balance_ap;15353931;20000000;pos
268044153;92117;3719;0,000242218;4844,362007;142
5500676367;14677;3714;0,000241892;4837,849017;143
751665267;19934;3707;0,000241437;4828,730831;144
404710255;34245;3705;0,000241306;4826,125635;145
2065239588;81930;3704;0,000241241;4824,823037;146
5627713949;28697;3702;0,000241111;4822,217841;147
131591310;76144;3701;0,000241046;4820,915243;148
1177601513;106585;3685;0,000240004;4800,073675;149
7378307200;24694;3682;0,000239808;4796,165881;150
2107138446;3628;3681;0,000239743;4794,863283;151
272547315;84783;3675;0,000239352;4787,047695;152
673131156;75829;3671;0,000239092;4781,837303;153
1380244093;8638;3656;0,000238115;4762,298333;154
1150429329;39023;3634;0,000236682;4733,641176;155
434296111;1164;3607;0,000234924;4698,47103;156
5407848909;151115;3600;0,000234468;4689,352844;157
861243589;32931;3599;0,000234403;4688,050246;158
542024583;11587;3595;0,000234142;4682,839854;159
5185850822;66161;3592;0,000233947;4678,93206;160
84117466;74896;3584;0,000233426;4668,511276;161
5402338787;102198;3584;0,000233426;4668,511276;162
5503346929;48517;3583;0,00023336;4667,208678;163
858594458;59130;3577;0,00023297;4659,39309;164
34846832;2793;3571;0,000232579;4651,577502;165
1143608614;7945;3559;0,000231797;4635,946325;166
699381698;56882;3557;0,000231667;4633,341129;167
6456893808;74255;3551;0,000231276;4625,525541;168
6309956851;57373;3538;0,00023043;4608,591767;169
1000325092;28577;3522;0,000229388;4587,750199;170
6563997657;5298;3516;0,000228997;4579,934611;171
299130215;57380;3510;0,000228606;4572,119023;172
380144949;22084;3509;0,000228541;4570,816425;173
6203780978;49707;3504;0,000228215;4564,303435;174
77984236;84302;3497;0,000227759;4555,185249;175
6880739302;84367;3496;0,000227694;4553,882651;176
6180650229;212006;3491;0,000227368;4547,369661;177
1771553377;52922;3483;0,000226847;4536,948876;178
6235990123;64431;3483;0,000226847;4536,948876;179
508086126;24135;3469;0,000225936;4518,712504;180
6780549890;5935;3468;0,00022587;4517,409906;181
6344481797;628;3461;0,000225415;4508,29172;182
978605236;47330;3447;0,000224503;4490,055348;183
1750403802;2933;3442;0,000224177;4483,542358;184
6953571476;76981;3439;0,000223982;4479,634564;185
66037885;49195;3436;0,000223786;4475,72677;186
1229153065;74319;3435;0,000223721;4474,424172;187
1051949397;120;3428;0,000223265;4465,305986;188
270671292;41196;3419;0,000222679;4453,582604;189
758321822;49902;3419;0,000222679;4453,582604;190
5952449723;30469;3416;0,000222484;4449,67481;191
